Customer ID,Customer Name,Invoice Balance,Credit Balance,Notes
004747b8-9124-4060-989a-8d1075af2424,DJLAPQ Ltd.,2670.175,0.0,
0602ebf7-659e-470a-a536-9fbd413fb42b,OUWIIM Inc.,7365.520750000001,0.0,
12184764-5687-4690-8794-35efc5586e72,Nora Co,0.0,0.0,No credit ledger
15b367c9-04b9-4064-9a58-b589928898fd,RTLKR LLC,2861.0995000000003,0.0,
1715df37-9b9b-4829-b381-e7febaefb102,BQYGSA Corp.,2753.0497000000005,0.0,
20ffd2e6-ff2e-4347-8045-9e744ef8a986,HWU LLC,11736.996175000002,0.0,
2209a058-dbe1-4e8c-8325-fb8daa1cc987,NYMRRFC Corp.,7224.30115,0.0,
2294f7f7-19a6-44a2-b9f9-4b6b79134d12,YCXZKJHDGH LLC,8212.639299999999,0.0,
2ac3705a-51a6-4149-8f6a-0113941e94e7,FZR Ltd.,4324.5859,0.0,
2ae68df2-533e-44bf-9b4d-ac766c7ac3da,JEAVPMO Co.,12193.66795,0.0,
334ad07b-7bc1-4e3c-8337-a344837e344f,NSFYJ Corp.,6231.143125,99192.41025,
37154c55-bd42-4b7e-a453-51dd005b35b7,MWOX LLC,11379.499075,0.0,
3e233dbd-0280-4def-aaa9-011a3a4ba745,HDCEOZSD Inc.,4429.9589000000005,0.0,
40430943-1fa7-48f4-86ba-0c27ad2386a4,AJLUAY Corp.,6824.285,10541.565625,
5b9a90c0-75cc-4771-958e-9974a3324dc3,IITGBOGYI Corp.,11467.576925000001,0.0,
5f770337-056f-4430-813d-f6ace4ff876c,UBHRWJKDA LLC,0.0,15825.0658,
5fb28f87-7884-4ce1-9b37-d3687f2d8cf2,TCEZCCLJ Co.,11670.6211,0.0,
67c54616-a4d5-4717-8c95-4aa3b3e547b2,Example-Customer-5,0.0,0.0,No credit ledger
69e51ea4-2ca3-4bf1-b606-6a8b496d98d5,TTKPUBJEA Inc.,12725.453399999999,0.0,
6c2e6096-2adc-4ced-b660-2211bc59b449,GFRSUWSM LLC,2706.9541000000004,0.0,
